	0.7866	0.7867	1.5503	Source	Target
bc1002##bc1001##O2	0.0	0.15236136794857927	0.0	bc1002	bc1001
bc1010##bc1001##O2	-0.11704622158702876	0.269407589535608	0.0	bc1010	bc1001
bc1001##bc1002##O2	0.0	0.15290050085943938	0.0	bc1001	bc1002
bc1010##bc1002##O2	-0.11746039134015632	0.2703608921995961	0.0	bc1010	bc1002
bc1001##bc1010##O2	0.15252946972194503	0.0	0.0	bc1001	bc1010
bc1002##bc1010##O2	0.15252946972194545	0.0	0.0	bc1002	bc1010
bc1001##bc1010##D-Glucose	-0.14798349421739732	-0.121721335321821	0.0	bc1001	bc1010
bc1002##bc1010##D-Glucose	-0.15224229749932003	-0.1174625320398999	0.0	bc1002	bc1010
bc1002##bc1001##D-Glucose	0.0	-0.27768364970870507	0.0	bc1002	bc1001
bc1010##bc1001##D-Glucose	0.0	-0.27768364970870413	0.0	bc1010	bc1001
bc1001##bc1002##D-Glucose	0.0	-0.27087086964738266	0.0	bc1001	bc1002
bc1010##bc1002##D-Glucose	0.0	-0.2708708696473834	0.0	bc1010	bc1002
