	bc1001	bc1002	bc1010	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
2-Oxoglutarate	0.0	0.0	0.0	bc1010	1		0	bc1010	1
4-Hydroxybenzoate	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
5-Aminolevulinate	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
AMP	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
ARSENOBETAINE	0.0	0.0	0.0		0		0		0
Acetate	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Adenine	0.0	0.0	0.0		0		0		0
Adenosine	0.0	0.0	0.0	bc1001.bc1010	2		0	bc1001.bc1010	2
Ala-Ala	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
BET	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
BIOT	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
CMP	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
CO2	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Ca2+	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Carnitine	0.0	0.0	0.0		0		0		0
Cbl	0.0	0.0	0.0		0		0		0
Chorismate	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Cl-	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Co2+	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
CoA	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Cu2+	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
D-Arabinose	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
D-Glucose	0.277683649708704	0.27087086964738327	0.2697048295392189	bc1001.bc1002.bc1010	3	bc1001.bc1002.bc1010	3	bc1001.bc1002.bc1010bc1001.bc1002.bc1010	6
Deoxycytidine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Deoxyguanosine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Enterobactin	0.0	0.0	0.0		0		0		0
Fe-enterochlin	0.0	0.0	0.0		0		0		0
Folate	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Formate	0.0	0.0	0.0	bc1001	1		0	bc1001	1
Fumarate	0.0	0.0	0.0	bc1010	1		0	bc1010	1
GTP	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Glycerol	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Glycine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
H+	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
H2O	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Heme	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
K+	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Alanine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Arginine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Asparagine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Aspartate	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Cysteine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Glutamate	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Glutamine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Histidine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Inositol	0.0	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Lactate	0.0	0.0	0.0		0		0		0
L-Leucine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Lysine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Malate	0.0	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Phenylalanine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Proline	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Serine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Threonine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Tryptophan	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
L-Tyrosine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
