	0.0000	5.0431	6.9372	Source	Target
Spermidine-e0##H2O-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Spermidine-e0	H2O-e0
L-Lactate-e0##H2O-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	L-Lactate-e0	H2O-e0
Thiamine##H2O-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Thiamine	H2O-e0
Pyridoxal##H2O-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	H2O-e0
Puryvate##H2O-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Puryvate	H2O-e0
Thiamine##Glycine-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Thiamine	Glycine-e0
Pyridoxal##Glycine-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	Glycine-e0
Pyridoxal##Phosphate-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	Phosphate-e0
Spermidine-e0##D-Glucose-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Spermidine-e0	D-Glucose-e0
L-Lactate-e0##D-Glucose-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	L-Lactate-e0	D-Glucose-e0
Thiamine##D-Glucose-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Thiamine	D-Glucose-e0
Pyridoxal##D-Glucose-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	D-Glucose-e0
Puryvate##D-Glucose-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Puryvate	D-Glucose-e0
Pyridoxal##Mn2+-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	Mn2+-e0
Pyridoxal##Zn2+-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	Zn2+-e0
Pyridoxal##L-Lysine-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	L-Lysine-e0
Pyridoxal##Sulfate-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	Sulfate-e0
Pyridoxal##L-Arginine-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	L-Arginine-e0
Spermidine-e0##L-Glutamine-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Spermidine-e0	L-Glutamine-e0
Pyridoxal##L-Glutamine-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	L-Glutamine-e0
Pyridoxal##L-Histidine-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	L-Histidine-e0
Pyridoxal##L-Proline-e0##Acutalibacter_muris_KB1	0.0	0.0	0.0	Pyridoxal	L-Proline-e0
