	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
4	bc1012	Fumarate	Microbe	-0.9999999999999718	0.9999999999999718	-1.0	0.9999999999999859	-0.9999999999999859
67	bc1008	O2	Microbe	-0.02241703864741679	0.02241703864741679	-1.0	0.14972320677642725	-0.14972320677642725
93	bc1009	D-Glucose	Microbe	-0.5488456961569521	0.5488456961569521	-1.0	0.7408412084630229	-0.7408412084630229
114	O2	bc1012	Metabolite	-1.5658264466422347	1.5658264466422347	-1.0	1.2513298712338943	-1.2513298712338943
128	D-Glucose	bc1008	Metabolite	0.057453288118452996	0.057453288118452996	1.0	0.2396941553698233	0.2396941553698233
141	bc1009	O2	Microbe	-1.0000000000000036	1.0000000000000036	-1.0	1.0000000000000018	-1.0000000000000018
143	O2	bc1009	Metabolite	0.15319477863953596	0.15319477863953596	1.0	0.3914010457823739	0.3914010457823739
175	bc1001	D-Glucose	Microbe	-0.5486868532173556	0.5486868532173556	-1.0	0.7407339962613809	-0.7407339962613809
208	O2	bc1001	Metabolite	0.1523613679485789	0.1523613679485789	1.0	0.390334943284071	0.390334943284071
212	bc1012	D-Glucose	Microbe	-1.0000000000001419	1.0000000000001419	-1.0	1.0000000000000708	-1.0000000000000708
221	bc1001	O2	Microbe	-0.9999999999999996	0.9999999999999996	-1.0	0.9999999999999998	-0.9999999999999998
239	bc1008	D-Glucose	Microbe	-0.9999999999999929	0.9999999999999929	-1.0	0.9999999999999964	-0.9999999999999964
256	Fumarate	bc1012	Metabolite	-0.7829132233211915	0.7829132233211915	-1.0	0.8848238374508179	-0.8848238374508179
270	bc1012	O2	Microbe	-1.0000000000000475	1.0000000000000475	-1.0	1.0000000000000238	-1.0000000000000238
277	D-Glucose	bc1012	Metabolite	3.131652893283958	3.131652893283958	1.0	1.7696476749014076	1.7696476749014076
