	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
4	Spermidine-e0	H2O-e0	Turicimonas_muris_YL45	-0.9999999999836297	0.9999999999836297	-1.0	0.9999999999918148	-0.9999999999918148
25	Folate	H2O-e0	Turicimonas_muris_YL45	10.499999999980227	10.499999999980227	1.0	3.2403703492008793	3.2403703492008793
26	Riboflavin	H2O-e0	Turicimonas_muris_YL45	-5254.119353031597	5254.119353031597	-1.0	72.48530439359138	-72.48530439359138
38	Riboflavin	Phosphate-e0	Turicimonas_muris_YL45	-127.45775495970794	127.45775495970794	-1.0	11.289718993832748	-11.289718993832748
44	Spermidine-e0	L-Glutamate-e0	Turicimonas_muris_YL45	3.0000000000011817	3.0000000000011817	1.0	1.7320508075692185	1.7320508075692185
61	Folate	L-Glutamate-e0	Turicimonas_muris_YL45	-1.500000000000839	1.500000000000839	-1.0	1.2247448713919316	-1.2247448713919316
62	Riboflavin	L-Glutamate-e0	Turicimonas_muris_YL45	-466.21326904911086	466.21326904911086	-1.0	21.591972328833485	-21.591972328833485
64	Riboflavin	Zn2+-e0	Turicimonas_muris_YL45	-0.9241112603174525	0.9241112603174525	-1.0	0.961307058289625	-0.961307058289625
73	Riboflavin	L-Lysine-e0	Turicimonas_muris_YL45	-41.26899935746336	41.26899935746336	-1.0	6.42409521702966	-6.42409521702966
79	Spermidine-e0	L-Aspartate-e0	Turicimonas_muris_YL45	-2.9999999999975935	2.9999999999975935	-1.0	1.7320508075681826	-1.7320508075681826
99	Folate	L-Aspartate-e0	Turicimonas_muris_YL45	10.499999999999376	10.499999999999376	1.0	3.240370349203834	3.240370349203834
100	Riboflavin	L-Aspartate-e0	Turicimonas_muris_YL45	-688.117161642343	688.117161642343	-1.0	26.2319873750035	-26.2319873750035
110	Riboflavin	Sulfate-e0	Turicimonas_muris_YL45	-0.924111260303212	0.924111260303212	-1.0	0.9613070582822182	-0.9613070582822182
