	0.2639	0.2739	0.3863	0.3887	0.3914	1.1708	Source	Target
O2##dATP##bc1003	0.0	0.0	0.0	0.0017319514074685962	0.0	0.0	O2	dATP
O2##Co2+##bc1003	0.0	0.0	0.0	0.00042927593094238683	0.0	0.0	O2	Co2+
O2##Deoxycytidine##bc1003	0.0	0.0	0.0	0.0031688731750682303	0.0	0.0	O2	Deoxycytidine
O2##Mg##bc1003	0.0	0.0	0.0	0.0004292759309417511	0.0	0.0	O2	Mg
O2##L-Aspartate##bc1003	0.0	0.0	0.0	0.030722359888708143	0.0	0.0	O2	L-Aspartate
O2##5-Aminolevulinate##bc1003	0.0	0.0	0.0	0.0034342074475198743	0.0	0.0	O2	5-Aminolevulinate
O2##Glycine##bc1003	0.0	0.0	0.0	0.0767101812372719	0.0	0.0	O2	Glycine
O2##Chorismate##bc1003	0.0	0.0	0.0	0.0008585518618862887	0.0	0.0	O2	Chorismate
O2##Folate##bc1003	0.0	0.0	0.0	0.0012878277928207147	0.0	0.0	O2	Folate
O2##L-Histidine##bc1003	0.0	0.0	0.0	0.012125454678913603	0.0	0.0	O2	L-Histidine
O2##Myristic acid##bc1003	0.0	0.0	0.0	0.019130147303045443	0.0	0.0	O2	Myristic acid
O2##Heme##bc1003	0.0	0.0	0.0	0.00042927593094293587	0.0	0.0	O2	Heme
O2##L-Proline##bc1003	0.0	0.0	0.0	0.028201900208262395	0.0	0.0	O2	L-Proline
O2##Oxidized glutathione##bc1003	0.0	0.0	0.0	0.00021463796547111584	0.0	0.0	O2	Oxidized glutathione
O2##L-Arginine##bc1003	0.0	0.0	0.0	0.03773877467482258	0.0	0.0	O2	L-Arginine
O2##CMP##bc1003	0.0	0.0	0.0	0.012865862501867859	0.0	0.0	O2	CMP
O2##Thiamin##bc1003	0.0	0.0	0.0	0.0004292759309436537	0.0	0.0	O2	Thiamin
O2##Mn2+##bc1003	0.0	0.0	0.0	0.00042927593094220853	0.0	0.0	O2	Mn2+
O2##GTP##bc1003	0.0	0.0	0.0	0.020714038628005693	0.0	0.0	O2	GTP
O2##L-Alanine##bc1003	0.0	0.0	0.0	0.06928986062036441	0.0	0.0	O2	L-Alanine
O2##H+##bc1003	0.0	0.0	0.0	-0.7796113582637348	0.0	0.0	O2	H+
O2##Sulfate##bc1003	0.0	0.0	0.0	0.00042927593094232145	0.0	0.0	O2	Sulfate
O2##L-Tyrosine##bc1003	0.0	0.0	0.0	0.01846066414598729	0.0	0.0	O2	L-Tyrosine
O2##L-Lysine##bc1003	0.0	0.0	0.0	0.04366526095047156	0.0	0.0	O2	L-Lysine
O2##AMP##bc1003	0.0	0.0	0.0	0.0164250039465099	0.0	0.0	O2	AMP
O2##L-Glutamate##bc1003	0.0	0.0	0.0	0.03905843488115722	0.0	0.0	O2	L-Glutamate
