	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	D-Glucose	L-Alanine	bc1016	-0.026023178129174693	0.026023178129174693	-1.0	0.161317011282675	-0.161317011282675
1	D-Glucose	L-Glutamate	bc1016	-0.014024275753891109	0.014024275753891109	-1.0	0.11842413501432514	-0.11842413501432514
2	D-Glucose	Riboflavin	bc1016	-0.0004836692086271653	0.0004836692086271653	-1.0	0.021992480729266656	-0.021992480729266656
3	D-Glucose	Zn2+	bc1016	-0.00016122306954357782	0.00016122306954357782	-1.0	0.012697364669236598	-0.012697364669236598
4	D-Glucose	L-Histidine	bc1016	-0.004553954419615389	0.004553954419615389	-1.0	0.06748299355849138	-0.06748299355849138
5	D-Glucose	Co2+	bc1016	-0.00016122306954343272	0.00016122306954343272	-1.0	0.012697364669230883	-0.012697364669230883
6	D-Glucose	D-Glucose	bc1016	-1.000000000000001	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
7	D-Glucose	K+	bc1016	-0.00016122306954369063	0.00016122306954369063	-1.0	0.01269736466924104	-0.01269736466924104
8	D-Glucose	L-Proline	bc1016	-0.01059178162764525	0.01059178162764525	-1.0	0.1029163817263571	-0.1029163817263571
9	D-Glucose	L-Glutamine	bc1016	-0.012587334687932916	0.012587334687932916	-1.0	0.1121932916351638	-0.1121932916351638
10	D-Glucose	Pyridoxal	bc1016	-0.00016122306954381856	0.00016122306954381856	-1.0	0.012697364669246078	-0.012697364669246078
11	D-Glucose	TRHL	bc1016	-0.0034030548303741236	0.0034030548303741236	-1.0	0.05833570802153792	-0.05833570802153792
12	D-Glucose	AMP	bc1016	-0.006088123683416382	0.006088123683416382	-1.0	0.07802642939040837	-0.07802642939040837
13	D-Glucose	Deoxycytidine	bc1016	-0.0006896832404021166	0.0006896832404021166	-1.0	0.02626182096508383	-0.02626182096508383
14	D-Glucose	L-Cysteine	bc1016	-0.004374866324462453	0.004374866324462453	-1.0	0.06614277227681384	-0.06614277227681384
15	D-Glucose	Mn2+	bc1016	-0.00016122306954408536	0.00016122306954408536	-1.0	0.012697364669256583	-0.012697364669256583
16	D-Glucose	D-Alanine	bc1016	-0.002873882131944701	0.002873882131944701	-1.0	0.053608601286964215	-0.053608601286964215
17	D-Glucose	Chorismate	bc1016	-0.0003224461390862265	0.0003224461390862265	-1.0	0.017956785321605495	-0.017956785321605495
18	D-Glucose	Glycerol	bc1016	-0.00357880492740255	0.00357880492740255	-1.0	0.05982311365519643	-0.05982311365519643
19	D-Glucose	4-Hydroxybenzoate	bc1016	-0.00016122306953369583	0.00016122306953369583	-1.0	0.012697364668847463	-0.012697364668847463
20	D-Glucose	L-Leucine	bc1016	-0.021567323459189224	0.021567323459189224	-1.0	0.14685817464203083	-0.14685817464203083
21	D-Glucose	L-Aspartate	bc1016	-0.011538390130598736	0.011538390130598736	-1.0	0.10741689871988827	-0.10741689871988827
22	D-Glucose	L-Arginine	bc1016	-0.014173543530711782	0.014173543530711782	-1.0	0.11905269224470223	-0.11905269224470223
23	D-Glucose	CMP	bc1016	-0.0013548885500875866	0.0013548885500875866	-1.0	0.036808810767091985	-0.036808810767091985
24	D-Glucose	Sulfate	bc1016	-0.00016122306954377354	0.00016122306954377354	-1.0	0.012697364669244305	-0.012697364669244305
25	D-Glucose	Acetate	bc1016	1.4964829358497282	1.4964829358497282	1.0	1.2233081933224057	1.2233081933224057
26	D-Glucose	Putrescine	bc1016	-0.00016122306954374587	0.00016122306954374587	-1.0	0.012697364669243216	-0.012697364669243216
27	D-Glucose	L-Phenylalanine	bc1016	-0.008877652716890791	0.008877652716890791	-1.0	0.09422129651459266	-0.09422129651459266
28	D-Glucose	Oxidized glutathione	bc1016	-8.061153477201887e-05	8.061153477201887e-05	-1.0	0.008978392660828489	-0.008978392660828489
29	D-Glucose	2-Oxoglutarate	bc1016	-0.00032244613908655705	0.00032244613908655705	-1.0	0.017956785321614696	-0.017956785321614696
30	D-Glucose	Uridine	bc1016	-0.0053798146350004464	0.0053798146350004464	-1.0	0.07334721968146063	-0.07334721968146063
31	D-Glucose	Ca2+	bc1016	-0.0001612230695431647	0.0001612230695431647	-1.0	0.012697364669220331	-0.012697364669220331
32	D-Glucose	L-Tyrosine	bc1016	-0.006933267683796765	0.006933267683796765	-1.0	0.0832662457649963	-0.0832662457649963
33	D-Glucose	Spermidine	bc1016	-0.00016122306954302794	0.00016122306954302794	-1.0	0.012697364669214945	-0.012697364669214945
34	D-Glucose	Pimelate	bc1016	-0.0004252393321438339	0.0004252393321438339	-1.0	0.020621331968227317	-0.020621331968227317
35	D-Glucose	NH3	bc1016	0.0008061153477152456	0.0008061153477152456	1.0	0.028392170535470614	0.028392170535470614
36	D-Glucose	Glucose-1-phosphate	bc1016	-0.0037816504994862025	0.0037816504994862025	-1.0	0.06149512581893139	-0.06149512581893139
37	D-Glucose	Cl-	bc1016	-0.00016122306954406752	0.00016122306954406752	-1.0	0.01269736466925588	-0.01269736466925588
38	D-Glucose	BET	bc1016	-0.00032244613907769646	0.00032244613907769646	-1.0	0.017956785321367977	-0.017956785321367977
39	D-Glucose	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1016	-0.007157609854813912	0.007157609854813912	-1.0	0.08460265867461797	-0.08460265867461797
