	Akkermansia_muciniphilaYL44	Enterocloster_clostridioformis_YL32	In	InAmount	Out	OutAmount	All	AllAmount
Acetate-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2		0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2
Adenine	0.0	0.0		0		0		0
Anserine	0.0	0.0		0		0		0
BIOT-e0	0.0	0.0		0		0		0
Biotin	0.0	0.0		0		0		0
Ca2+-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2		0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2
Carnitine	0.0	0.0		0		0		0
Carnosine	0.0	0.0		0		0		0
Cd2+-e0	0.0	0.0		0		0		0
Cellulose	0.0	0.0		0		0		0
Cholesterol	0.0	0.0		0		0		0
Choline	0.0	0.0		0		0		0
Choline-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Chromium	0.0	0.0		0		0		0
Citrulline	0.0	0.0		0		0		0
Cl--e0	0.0	0.0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2		0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2
Co2+-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2		0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2
Creatine	0.0	0.0		0		0		0
Creatinine	0.0	0.0		0		0		0
Cu2+-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2		0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2
Cytosine	0.0	0.0		0		0		0
Cytosine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
D-Glucose-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2		0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2
D-Mannose-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Fe2+-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2		0	Akkermansia_muciniphilaYL44.Enterocloster_clostridioformis_YL32	2
