	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	PAN	Enterocloster_clostridioformis_YL32	Metabolite	126.68907411987142	None	-1	126.68907411987142	1.0	11.255624110633377	11.255624110633377
31	Enterocloster_clostridioformis_YL32	Glycine-e0	Microbe	6.571428571458839	Thiamin-e0	0	6.571428571458839	1.0	2.5634797778525265	2.5634797778525265
38	Enterocloster_clostridioformis_YL32	Glycine-e0	Microbe	0.8857142857058813	Fumarate-e0	0	0.8857142857058813	1.0	0.9411239481098551	0.9411239481098551
59	Enterocloster_clostridioformis_YL32	Glycine-e0	Microbe	5.976190476144759	Folate-e0	0	5.976190476144759	1.0	2.4446248129610315	2.4446248129610315
73	Enterocloster_clostridioformis_YL32	Glycine-e0	Microbe	-2544.6186230481994	PAN	0	2544.6186230481994	-1.0	50.444212978776854	-50.444212978776854
74	Enterocloster_clostridioformis_YL32	Glycine-e0	Microbe	0.23809523809623678	Puryvate	0	0.23809523809623678	1.0	0.48795003647528995	0.48795003647528995
80	Enterocloster_clostridioformis_YL32	Phosphate-e0	Microbe	-127.45775496150733	PAN	0	127.45775496150733	-1.0	11.289718993912441	-11.289718993912441
90	Enterocloster_clostridioformis_YL32	L-Glutamate-e0	Microbe	1.7142857142865557	Thiamin-e0	0	1.7142857142865557	1.0	1.3093073414162757	1.3093073414162757
97	Enterocloster_clostridioformis_YL32	L-Glutamate-e0	Microbe	0.05714285714254058	Fumarate-e0	0	0.05714285714254058	1.0	0.2390457218662166	0.2390457218662166
118	Enterocloster_clostridioformis_YL32	L-Glutamate-e0	Microbe	4.761904761903322	Folate-e0	0	4.761904761903322	1.0	2.182178902359594	2.182178902359594
132	Enterocloster_clostridioformis_YL32	L-Glutamate-e0	Microbe	-104.44054529818474	PAN	0	104.44054529818474	-1.0	10.219615711864353	-10.219615711864353
133	Enterocloster_clostridioformis_YL32	L-Glutamate-e0	Microbe	0.38095238095239325	Puryvate	0	0.38095238095239325	1.0	0.6172133998483776	0.6172133998483776
145	Enterocloster_clostridioformis_YL32	D-Glucose-e0	Microbe	-0.7142857142772309	Thiamin-e0	0	0.7142857142772309	-1.0	0.8451542547234977	-0.8451542547234977
153	Enterocloster_clostridioformis_YL32	D-Glucose-e0	Microbe	-0.057142857145323175	Fumarate-e0	0	0.057142857145323175	-1.0	0.2390457218720368	-0.2390457218720368
174	Enterocloster_clostridioformis_YL32	D-Glucose-e0	Microbe	-0.5119047619182322	Folate-e0	0	0.5119047619182322	-1.0	0.7154752000721144	-0.7154752000721144
188	Enterocloster_clostridioformis_YL32	D-Glucose-e0	Microbe	-737.1122763974066	PAN	0	737.1122763974066	-1.0	27.14981171937306	-27.14981171937306
189	Enterocloster_clostridioformis_YL32	D-Glucose-e0	Microbe	0.11904761904792237	Puryvate	0	0.11904761904792237	1.0	0.34503277967161666	0.34503277967161666
195	Enterocloster_clostridioformis_YL32	Mn2+-e0	Microbe	-0.9241112603365158	PAN	0	0.9241112603365158	-1.0	0.9613070582995403	-0.9613070582995403
197	Enterocloster_clostridioformis_YL32	Zn2+-e0	Microbe	-0.9241112603364158	PAN	0	0.9241112603364158	-1.0	0.9613070582994883	-0.9613070582994883
219	Enterocloster_clostridioformis_YL32	L-Lysine-e0	Microbe	-41.26899935822506	PAN	0	41.26899935822506	-1.0	6.424095217088945	-6.424095217088945
244	Enterocloster_clostridioformis_YL32	L-Aspartate-e0	Microbe	-204.4072416106362	PAN	0	204.4072416106362	-1.0	14.2971060571934	-14.2971060571934
246	Enterocloster_clostridioformis_YL32	Sulfate-e0	Microbe	-0.9241112603319834	PAN	0	0.9241112603319834	-1.0	0.9613070582971829	-0.9613070582971829
271	Enterocloster_clostridioformis_YL32	L-Arginine-e0	Microbe	-36.57235834251698	PAN	0	36.57235834251698	-1.0	6.0475084408801765	-6.0475084408801765
315	Enterocloster_clostridioformis_YL32	L-Leucine-e0	Microbe	-64.72644010615912	PAN	0	64.72644010615912	-1.0	8.045274395951894	-8.045274395951894
338	Enterocloster_clostridioformis_YL32	L-Histidine-e0	Microbe	-11.39328203142249	PAN	0	11.39328203142249	-1.0	3.3753936113322385	-3.3753936113322385
360	Enterocloster_clostridioformis_YL32	L-Proline-e0	Microbe	-26.584324739987263	PAN	0	26.584324739987263	-1.0	5.155998908066919	-5.155998908066919
362	Enterocloster_clostridioformis_YL32	Co2+-e0	Microbe	-0.9241112603364054	PAN	0	0.9241112603364054	-1.0	0.9613070582994829	-0.9613070582994829
385	Enterocloster_clostridioformis_YL32	L-Valine-e0	Microbe	-50.889993073715885	PAN	0	50.889993073715885	-1.0	7.1337222453440035	-7.1337222453440035
409	Enterocloster_clostridioformis_YL32	L-Threonine-e0	Microbe	-30.50867743965312	PAN	0	30.50867743965312	-1.0	5.523466071195977	-5.523466071195977
434	Enterocloster_clostridioformis_YL32	Thiamin-e0	Microbe	-1.0000000000000007	Thiamin-e0	1	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
455	Enterocloster_clostridioformis_YL32	L-Isoleucine-e0	Microbe	-45.48445267532151	PAN	0	45.48445267532151	-1.0	6.744216238772413	-6.744216238772413
457	Enterocloster_clostridioformis_YL32	fe3-e0	Microbe	-0.9241112603365147	PAN	0	0.9241112603365147	-1.0	0.9613070582995398	-0.9613070582995398
466	Enterocloster_clostridioformis_YL32	H+-e0	Microbe	0.42857142856136515	Thiamin-e0	0	0.42857142856136515	1.0	0.6546536707002911	0.6546536707002911
473	Enterocloster_clostridioformis_YL32	H+-e0	Microbe	0.11428571428828795	Fumarate-e0	0	0.11428571428828795	1.0	0.3380617018952131	0.3380617018952131
494	Enterocloster_clostridioformis_YL32	H+-e0	Microbe	-1.4761904761765325	Folate-e0	0	1.4761904761765325	-1.0	1.2149857925821737	-1.2149857925821737
508	Enterocloster_clostridioformis_YL32	H+-e0	Microbe	774.3701992648038	PAN	0	774.3701992648038	1.0	27.8275079600169	27.8275079600169
509	Enterocloster_clostridioformis_YL32	H+-e0	Microbe	-0.23809523809558675	Puryvate	0	0.23809523809558675	-1.0	0.48795003647462387	-0.48795003647462387
536	Enterocloster_clostridioformis_YL32	Uracil-e0	Microbe	-38.64223087827593	PAN	0	38.64223087827593	-1.0	6.21628754790799	-6.21628754790799
544	Enterocloster_clostridioformis_YL32	XAN-e0	Microbe	-2.0000000000007208	Thiamin-e0	0	2.0000000000007208	-1.0	1.4142135623733498	-1.4142135623733498
556	Enterocloster_clostridioformis_YL32	XAN-e0	Microbe	-0.4999999999990686	Folate-e0	0	0.4999999999990686	-1.0	0.7071067811858889	-0.7071067811858889
565	Enterocloster_clostridioformis_YL32	XAN-e0	Microbe	55.13310216123955	PAN	0	55.13310216123955	1.0	7.4251668103309	7.4251668103309
611	Enterocloster_clostridioformis_YL32	L-Methionine-e0	Microbe	-18.982435295447967	PAN	0	18.982435295447967	-1.0	4.3568836678809735	-4.3568836678809735
616	Enterocloster_clostridioformis_YL32	L-Cysteine-e0	Microbe	1.0000000000001459	Thiamin-e0	0	1.0000000000001459	1.0	1.0000000000000728	1.0000000000000728
634	Enterocloster_clostridioformis_YL32	L-Cysteine-e0	Microbe	-13.013505963702004	PAN	0	13.013505963702004	-1.0	3.6074237294365634	-3.6074237294365634
