	bc1008	bc1012	bc1010	In	InAmount	Out	OutAmount	All	AllAmount
L-Malate	0.0	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Phenylalanine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Proline	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Serine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Threonine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Tryptophan	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Tyrosine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Valine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Methanol	0.0	0.0	0.0		0		0		0
Mg	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Mn2+	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Myristic acid	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
N-Acetyl-D-glucosamine	0.0	0.0	0.0	bc1012	1		0	bc1012	1
NADP	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
NH3	0.0	0.0	0.0	bc1008.bc1010	2		0	bc1008.bc1010	2
Na+	0.0	0.0	0.0		0		0		0
Niacin	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Nicotinamide ribonucleotide	0.0	0.0	0.0	bc1010.bc1012	2		0	bc1010.bc1012	2
Nitrate	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	bc1010	1		0	bc1010	1
O2	0.0	0.152993124996932	0.1525294697219451	bc1008.bc1010.bc1012	3	bc1010.bc1012	2	bc1010.bc1012bc1008.bc1010.bc1012	5
Oxidized glutathione	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
PAN	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	bc1012	1		0	bc1012	1
Pimelate	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Putrescine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Pyridoxal	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Riboflavin	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
S-Adenosyl-L-methionine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Spermidine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Succinate	0.0	0.0	0.0	bc1010.bc1012	2		0	bc1010.bc1012	2
Sulfate	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
TRHL	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
TTP	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Thiamin	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Thymidine	0.0	0.0	0.0		0		0		0
UMP	0.0	0.0	0.0	bc1010.bc1012	2		0	bc1010.bc1012	2
Uracil	0.0	0.0	0.0		0		0		0
Uridine	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Xylose	0.0	0.0	0.0		0		0		0
Zn2+	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
chromate	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
dGTP	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
ddca	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
fe3	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
gamma-butyrobetaine	0.0	0.0	0.0		0		0		0
hexadecenoate	0.0	0.0	0.0	bc1008	1		0	bc1008	1
meso-2,6-Diaminopimelate	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
