	0.8028	0.8039	1.5462	Source	Target
O2##1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1011	0.019034238258016065	0.0	0.0	O2	1,2-Diacyl-sn-glycerol dioctadecanoyl
O2##Folate##bc1011	0.0012862219570316507	0.0	0.0	O2	Folate
O2##L-Leucine##bc1011	0.057354002472464305	0.0	0.0	O2	L-Leucine
O2##L-Lysine##bc1011	0.04361081326790983	0.0	0.0	O2	L-Lysine
O2##L-Valine##bc1011	0.05381615178614316	0.0	0.0	O2	L-Valine
O2##4-Hydroxybenzoate##bc1011	0.00042874065234112225	0.0	0.0	O2	4-Hydroxybenzoate
O2##5-Aminolevulinate##bc1011	0.0034299252187462966	0.0	0.0	O2	5-Aminolevulinate
O2##L-Threonine##bc1011	0.0322488697176126	0.0	0.0	O2	L-Threonine
O2##L-Glutamine##bc1011	0.048329804310605594	0.0	0.0	O2	L-Glutamine
O2##D-Arabinose##bc1011	0.011463775967364757	0.0	0.0	O2	D-Arabinose
O2##Co2+##bc1011	0.0004287406523436731	0.0	0.0	O2	Co2+
O2##Ca2+##bc1011	0.0004287406523427215	0.0	0.0	O2	Ca2+
O2##Putrescine##bc1011	0.0004287406523454754	0.0	0.0	O2	Putrescine
O2##Riboflavin##bc1011	0.001286221957036697	0.0	0.0	O2	Riboflavin
O2##Mg##bc1011	0.0004287406523446112	0.0	0.0	O2	Mg
O2##BET##bc1011	0.000857481304688981	0.0	0.0	O2	BET
O2##L-Asparagine##bc1011	0.03068405114481698	0.0	0.0	O2	L-Asparagine
O2##Sulfate##bc1011	0.00042874065234605575	0.0	0.0	O2	Sulfate
O2##AMP##bc1011	0.011751142378306633	0.0	0.0	O2	AMP
O2##Myristic acid##bc1011	0.009515739424177225	0.0	0.0	O2	Myristic acid
O2##dATP##bc1011	0.001401014538498004	0.0	0.0	O2	dATP
O2##L-Phenylalanine##bc1011	0.023608349772176854	0.0	0.0	O2	L-Phenylalanine
O2##Zn2+##bc1011	0.0004287406523451301	0.0	0.0	O2	Zn2+
O2##L-Proline##bc1011	0.028166734310322104	0.0	0.0	O2	L-Proline
O2##TRHL##bc1011	0.009049746739535463	0.0	0.0	O2	TRHL
O2##Nitrite##bc1011	-0.0021437032617463146	0.0	0.0	O2	Nitrite
O2##D-Alanine##bc1011	0.007642517311564222	0.0	0.0	O2	D-Alanine
O2##L-Alanine##bc1011	0.06920346076259143	0.0	0.0	O2	L-Alanine
O2##CO2##bc1011	-1.1067822830501668	0.0	0.0	O2	CO2
O2##L-Glutamate##bc1011	0.023295956329484533	0.0	0.0	O2	L-Glutamate
O2##L-Isoleucine##bc1011	0.036943325435999916	0.0	0.0	O2	L-Isoleucine
O2##Glycerol##bc1011	0.009517119129007283	0.0	0.0	O2	Glycerol
O2##Cl-##bc1011	0.00042874065234430465	0.0	0.0	O2	Cl-
O2##L-Tyrosine##bc1011	0.018437644922939967	0.0	0.0	O2	L-Tyrosine
O2##L-Tryptophan##bc1011	0.007211772552883939	0.0	0.0	O2	L-Tryptophan
O2##TTP##bc1011	0.0014010145384934288	0.0	0.0	O2	TTP
O2##Formate##bc1011	0.000428740652342662	0.0	0.0	O2	Formate
O2##L-Serine##bc1011	0.03260564303583227	0.0	0.0	O2	L-Serine
O2##Oxidized glutathione##bc1011	0.00021437032617179855	0.0	0.0	O2	Oxidized glutathione
O2##CoA##bc1011	0.0008574813047058282	0.0	0.0	O2	CoA
O2##GTP##bc1011	0.020688209596520866	0.0	0.0	O2	GTP
O2##Spermidine##bc1011	0.00042874065234489755	0.0	0.0	O2	Spermidine
O2##K+##bc1011	0.00042874065234464135	0.0	0.0	O2	K+
O2##L-Arginine##bc1011	0.03769171692733778	0.0	0.0	O2	L-Arginine
O2##Niacin##bc1011	-0.00042874065234300247	0.0	0.0	O2	Niacin
O2##Chorismate##bc1011	0.0008574813046945209	0.0	0.0	O2	Chorismate
O2##L-Cysteine##bc1011	0.011634085910784641	0.0	0.0	O2	L-Cysteine
O2##H+##bc1011	-0.7828635106273613	0.0	0.0	O2	H+
O2##Adenosine##bc1011	0.004653380678325527	0.0	0.0	O2	Adenosine
O2##Glycine##bc1011	0.07661452873213119	0.0	0.0	O2	Glycine
O2##ddca##bc1011	0.013411812510559186	0.0	0.0	O2	ddca
O2##Thiamin##bc1011	0.00042874065234550156	0.0	0.0	O2	Thiamin
O2##fe3##bc1011	0.001286221957037007	0.0	0.0	O2	fe3
O2##L-Histidine##bc1011	0.012110335041635676	0.0	0.0	O2	L-Histidine
O2##Deoxycytidine##bc1011	0.0034933593951217328	0.0	0.0	O2	Deoxycytidine
O2##UMP##bc1011	0.01430654584752483	0.0	0.0	O2	UMP
O2##Deoxyguanosine##bc1011	0.00042874065234495414	0.0	0.0	O2	Deoxyguanosine
O2##dGTP##bc1011	0.0030646187427756768	0.0	0.0	O2	dGTP
O2##D-Glucose##bc1011	0.5655450918052501	0.0	0.0	O2	D-Glucose
O2##Acetate##bc1011	-0.8729237249255308	0.0	0.0	O2	Acetate
O2##NADP##bc1011	0.0008574813046767902	0.0	0.0	O2	NADP
O2##Mn2+##bc1011	0.00042874065234409307	0.0	0.0	O2	Mn2+
O2##BIOT##bc1011	0.0004287406523462478	0.0	0.0	O2	BIOT
O2##L-Aspartate##bc1011	0.03068405114481932	0.0	0.0	O2	L-Aspartate
