	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
1	PAN	Phosphate-e0	Clostridium_innocuum_I46	-127.45775496002841	127.45775496002841	-1.0	11.289718993846941	-11.289718993846941
3	L-Glutamate-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
4	D-Glucose-e0	D-Glucose-e0	Clostridium_innocuum_I46	-0.9999999999999977	0.9999999999999977	-1.0	0.9999999999999988	-0.9999999999999988
5	Heme-e0	Heme-e0	Clostridium_innocuum_I46	-1.0000000000000056	1.0000000000000056	-1.0	1.0000000000000027	-1.0000000000000027
6	PAN	Mn2+-e0	Clostridium_innocuum_I46	-0.9241112603282228	0.9241112603282228	-1.0	0.9613070582952269	-0.9613070582952269
7	PAN	Zn2+-e0	Clostridium_innocuum_I46	-0.924111260326498	0.924111260326498	-1.0	0.9613070582943298	-0.9613070582943298
14	PAN	L-Lysine-e0	Clostridium_innocuum_I46	-41.26899935786116	41.26899935786116	-1.0	6.424095217060622	-6.424095217060622
15	L-Aspartate-e0	L-Aspartate-e0	Clostridium_innocuum_I46	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
16	PAN	Sulfate-e0	Clostridium_innocuum_I46	-0.924111260327924	0.924111260327924	-1.0	0.9613070582950715	-0.9613070582950715
23	PAN	L-Arginine-e0	Clostridium_innocuum_I46	-35.57235834221157	35.57235834221157	-1.0	5.964256730072203	-5.964256730072203
25	L-Glutamate-e0	L-Glutamine-e0	Clostridium_innocuum_I46	1.0000000000009537	1.0000000000009537	1.0	1.0000000000004767	1.0000000000004767
26	Heme-e0	L-Glutamine-e0	Clostridium_innocuum_I46	8.000000000011264	8.000000000011264	1.0	2.828427124748181	2.828427124748181
27	Putrescine-e0	L-Glutamine-e0	Clostridium_innocuum_I46	1.0000000000005749	1.0000000000005749	1.0	1.0000000000002873	1.0000000000002873
29	Spermidine-e0	L-Glutamine-e0	Clostridium_innocuum_I46	1.0000000000001732	1.0000000000001732	1.0	1.0000000000000866	1.0000000000000866
33	Folate-e0	L-Glutamine-e0	Clostridium_innocuum_I46	1.0000000000033116	1.0000000000033116	1.0	1.0000000000016558	1.0000000000016558
35	PAN	L-Glutamine-e0	Clostridium_innocuum_I46	-76.04418554177916	76.04418554177916	-1.0	8.720331733470875	-8.720331733470875
38	Heme-e0	D-Ribose-e0	Clostridium_innocuum_I46	2.0000000000133764	2.0000000000133764	1.0	1.4142135623778243	1.4142135623778243
40	Spermidine-e0	D-Ribose-e0	Clostridium_innocuum_I46	1.0000000000000207	1.0000000000000207	1.0	1.0000000000000102	1.0000000000000102
41	Thiamin-e0	D-Ribose-e0	Clostridium_innocuum_I46	1.9999999999954612	1.9999999999954612	1.0	1.4142135623714904	1.4142135623714904
49	Riboflavin	D-Ribose-e0	Clostridium_innocuum_I46	2.999999999996186	2.999999999996186	1.0	1.7320508075677763	1.7320508075677763
50	PAN	D-Ribose-e0	Clostridium_innocuum_I46	-101.4788422359471	101.4788422359471	-1.0	10.073670742879534	-10.073670742879534
51	Inosine	D-Ribose-e0	Clostridium_innocuum_I46	0.9999999999999559	0.9999999999999559	1.0	0.9999999999999779	0.9999999999999779
59	PAN	L-Leucine-e0	Clostridium_innocuum_I46	-54.18138566001611	54.18138566001611	-1.0	7.3608006127062096	-7.3608006127062096
60	Putrescine-e0	Putrescine-e0	Clostridium_innocuum_I46	-1.0000000000000004	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
61	PAN	L-Histidine-e0	Clostridium_innocuum_I46	-11.393282031318854	11.393282031318854	-1.0	3.3753936113168868	-3.3753936113168868
62	PAN	L-Proline-e0	Clostridium_innocuum_I46	-26.584324739739294	26.584324739739294	-1.0	5.155998908042872	-5.155998908042872
63	PAN	Co2+-e0	Clostridium_innocuum_I46	-0.9241112603330023	0.9241112603330023	-1.0	0.9613070582977128	-0.9613070582977128
70	PAN	L-Valine-e0	Clostridium_innocuum_I46	-61.43504751874532	61.43504751874532	-1.0	7.838051257726331	-7.838051257726331
71	L-Threonine-e0	L-Threonine-e0	Clostridium_innocuum_I46	-1.000000000000001	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
73	Spermidine-e0	Spermidine-e0	Clostridium_innocuum_I46	-1.0000000000000007	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
74	Thiamin-e0	Thiamin-e0	Clostridium_innocuum_I46	-1.0000000000000013	1.0000000000000013	-1.0	1.0000000000000007	-1.0000000000000007
82	PAN	L-Isoleucine-e0	Clostridium_innocuum_I46	-44.4844526748692	44.4844526748692	-1.0	6.6696666089744845	-6.6696666089744845
84	PAN	fe3-e0	Clostridium_innocuum_I46	-0.9241112603283239	0.9241112603283239	-1.0	0.9613070582952795	-0.9613070582952795
86	L-Glutamate-e0	H+-e0	Clostridium_innocuum_I46	-0.9999999999986827	0.9999999999986827	-1.0	0.9999999999993413	-0.9999999999993413
87	Heme-e0	H+-e0	Clostridium_innocuum_I46	-8.99999999999144	8.99999999999144	-1.0	2.999999999998573	-2.999999999998573
88	L-Aspartate-e0	H+-e0	Clostridium_innocuum_I46	-0.9999999999977008	0.9999999999977008	-1.0	0.9999999999988504	-0.9999999999988504
89	Putrescine-e0	H+-e0	Clostridium_innocuum_I46	1.0000000000006417	1.0000000000006417	1.0	1.0000000000003209	1.0000000000003209
90	L-Threonine-e0	H+-e0	Clostridium_innocuum_I46	0.49999999999987055	0.49999999999987055	1.0	0.707106781186456	0.707106781186456
92	Spermidine-e0	H+-e0	Clostridium_innocuum_I46	1.9999999999989237	1.9999999999989237	1.0	1.4142135623727146	1.4142135623727146
93	Thiamin-e0	H+-e0	Clostridium_innocuum_I46	0.9999999999926769	0.9999999999926769	1.0	0.9999999999963384	0.9999999999963384
95	L-Malate-e0	H+-e0	Clostridium_innocuum_I46	-1.9999999999977571	1.9999999999977571	-1.0	1.414213562372302	-1.414213562372302
96	N-Acetyl-D-glucosamine-e0	H+-e0	Clostridium_innocuum_I46	1.0000000000027993	1.0000000000027993	1.0	1.0000000000013995	1.0000000000013995
99	D-Mannitol-e0	H+-e0	Clostridium_innocuum_I46	-0.49999999999598743	0.49999999999598743	-1.0	0.7071067811837102	-0.7071067811837102
102	Folate-e0	H+-e0	Clostridium_innocuum_I46	-0.4999999999936018	0.4999999999936018	-1.0	0.7071067811820233	-0.7071067811820233
103	N-Acetyl-D-chondrosamine-e0	H+-e0	Clostridium_innocuum_I46	1.00000000000128	1.00000000000128	1.0	1.00000000000064	1.00000000000064
105	O2-e0	H+-e0	Clostridium_innocuum_I46	0.999999999999419	0.999999999999419	1.0	0.9999999999997095	0.9999999999997095
111	PAN	H+-e0	Clostridium_innocuum_I46	-135.57593344346168	135.57593344346168	-1.0	11.643707890679055	-11.643707890679055
112	Inosine	H+-e0	Clostridium_innocuum_I46	-0.5000000000001907	0.5000000000001907	-1.0	0.7071067811866824	-0.7071067811866824
121	PAN	Uracil-e0	Clostridium_innocuum_I46	-39.64223087788271	39.64223087788271	-1.0	6.296207658414922	-6.296207658414922
125	Folate-e0	XAN-e0	Clostridium_innocuum_I46	1.0000000000024794	1.0000000000024794	1.0	1.0000000000012397	1.0000000000012397
126	Riboflavin	XAN-e0	Clostridium_innocuum_I46	0.9999999999978301	0.9999999999978301	1.0	0.999999999998915	0.999999999998915
127	PAN	XAN-e0	Clostridium_innocuum_I46	-58.58478561453518	58.58478561453518	-1.0	7.654069872592958	-7.654069872592958
128	Inosine	XAN-e0	Clostridium_innocuum_I46	0.9999999999999853	0.9999999999999853	1.0	0.9999999999999927	0.9999999999999927
131	L-Malate-e0	L-Malate-e0	Clostridium_innocuum_I46	-1.0000000000000007	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
145	L-Glutamate-e0	L-Alanine-e0	Clostridium_innocuum_I46	1.0000000000120837	1.0000000000120837	1.0	1.0000000000060418	1.0000000000060418
