	0.2601	0.2687	0.2722	0.2733	0.3685	0.3763	1.2045	Source	Target
D-Glucose##Cl-##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Cl-
D-Glucose##dGTP##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	dGTP
D-Glucose##Citrate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Citrate
D-Glucose##Acetate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Acetate
D-Glucose##L-Tryptophan##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Tryptophan
D-Glucose##Heme##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Heme
D-Glucose##L-Valine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Valine
D-Glucose##Chitobiose##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Chitobiose
D-Glucose##Folate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Folate
D-Glucose##Putrescine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Putrescine
D-Glucose##Cu2+##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Cu2+
D-Glucose##L-Glutamate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Glutamate
D-Glucose##D-Alanine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	D-Alanine
D-Glucose##TRHL##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	TRHL
D-Glucose##K+##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	K+
D-Glucose##L-Arginine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Arginine
D-Glucose##L-Serine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Serine
D-Glucose##L-Threonine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Threonine
D-Glucose##ddca##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	ddca
D-Glucose##L-Alanine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Alanine
D-Glucose##L-Aspartate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Aspartate
D-Glucose##meso-2,6-Diaminopimelate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	meso-2,6-Diaminopimelate
D-Glucose##L-Asparagine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Asparagine
D-Glucose##CoA##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	CoA
D-Glucose##Oxidized glutathione##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Oxidized glutathione
D-Glucose##CMP##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	CMP
D-Glucose##Chorismate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Chorismate
D-Glucose##Thiamin##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Thiamin
D-Glucose##5-Aminolevulinate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	5-Aminolevulinate
D-Glucose##L-Methionine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Methionine
D-Glucose##Deoxycytidine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Deoxycytidine
D-Glucose##L-Lactate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Lactate
D-Glucose##dATP##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	dATP
D-Glucose##Sulfate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Sulfate
D-Glucose##Glucose-1-phosphate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Glucose-1-phosphate
D-Glucose##GTP##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	GTP
D-Glucose##O2##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	O2
D-Glucose##L-Phenylalanine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Phenylalanine
D-Glucose##Niacin##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Niacin
D-Glucose##Glycerol##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Glycerol
D-Glucose##S-Adenosyl-L-methionine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	S-Adenosyl-L-methionine
D-Glucose##Cytidine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Cytidine
D-Glucose##L-Tyrosine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Tyrosine
D-Glucose##L-Histidine##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	L-Histidine
D-Glucose##Mg##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Mg
D-Glucose##D-Glucose##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	D-Glucose
D-Glucose##Ca2+##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Ca2+
D-Glucose##1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	1,2-Diacyl-sn-glycerol dioctadecanoyl
D-Glucose##fe3##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	fe3
D-Glucose##Formate##bc1008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose	Formate
