	0
1,2-Diacyl-sn-glycerol dioctadecanoyl_e0	100.0
Folate_e0	0.0001346137907466
L-Leucine_e0	46.8878099058571
Arsenite_e0	100.0
L-Lysine_e0	33.3115482470592
L-Valine_e0	37.7843773128131
4-Hydroxybenzoate_e0	100.0
5-Aminolevulinate_e0	100.0
L-Threonine_e0	25.8810502421104
L-Glutamine_e0	100.0
D-Arabinose_e0	100.0
Adenine_e0	100.0
Co2+_e0	100.0
Ca2+_e0	18.549079295374
Methanol_e0	100.0
Putrescine_e0	100.0
Riboflavin_e0	0.0036932341279277
Mg_e0	14.529932112734
BET_e0	100.0
L-Asparagine_e0	100.0
Sulfate_e0	100.0
AMP_e0	100.0
Myristic acid_e0	30.2113800398482
dATP_e0	100.0
L-Phenylalanine_e0	100.0
Zn2+_e0	0.150963597430407
L-Proline_e0	53.8152791831878
TRHL_e0	100.0
Nitrate_e0	100.0
PAN_e0	0.0255697049402686
Nitrite_e0	100.0
D-Alanine_e0	100.0
L-Alanine_e0	37.2085636165274
CO2_e0	100.0
L-Glutamate_e0	103.122200527918
L-Isoleucine_e0	28.9216751325922
Glycerol_e0	100.0
Cl-_e0	375.557498660198
L-Tyrosine_e0	15.6468539670012
L-Tryptophan_e0	4.55482477186948
TTP_e0	100.0
Enterobactin_e0	100.0
Formate_e0	100.0
L-Serine_e0	37.3792255591735
Oxidized glutathione_e0	100.0
CoA_e0	100.0
GTP_e0	100.0
Cbl_e0	100.0
Arsenate_e0	100.0
Spermidine_e0	100.0
K+_e0	83.433806584941
L-Arginine_e0	20.3518771021335
Niacin_e0	0.30861619226627
Chorismate_e0	100.0
L-Cysteine_e0	7.5118316383043
H+_e0	100.0
Adenosine_e0	100.0
Glycine_e0	36.7646862919061
Na+_e0	172.446271718304
ddca_e0	13.4590471717898
Thiamin_e0	5.40785801339038
fe3_e0	0.109248813680723
L-Histidine_e0	14.0240766306639
Deoxycytidine_e0	100.0
UMP_e0	100.0
Deoxyguanosine_e0	100.0
dGTP_e0	100.0
D-Glucose_e0	135.580350130082
Acetate_e0	100.0
NADP_e0	100.0
Mn2+_e0	0.07470233059804
Fe-enterochlin_e0	100.0
BIOT_e0	0.0001786663279938
L-Aspartate_e0	47.0867491277091
D-Serine_e0	100.0
Pyridoxal_e0	0.0032104585172866
Nicotinamide ribonucleotide_e0	100.0
S-Adenosyl-L-methionine_e0	100.0
meso-2,6-Diaminopimelate_e0	100.0
O2_e0	100.0
Heme_e0	100.0
L-Methionine_e0	10.7274046938804
H2O_e0	165892.342500366
CMP_e0	100.0
Cu2+_e0	0.0356749441349574
Uracil_e0	100.0
NH3_e0	100.0
N-Acetyl-D-glucosamine_e0	100.0
Ala-Ala_e0	100.0
PPi_e0	100.0
chromate_e0	100.0
Cytosine_e0	100.0
ARSENOBETAINE_e0	100.0
Carnitine_e0	100.0
2-Oxoglutarate_e0	100.0
Succinate_e0	100.0
L-Malate_e0	100.0
Fumarate_e0	100.0
gamma-butyrobetaine_e0	100.0
L-Inositol_e0	100.0
Glucuronate_e0	100.0
Citrate_e0	100.0
Chitobiose_e0	100.0
D-Galacturonate_e0	100.0
Galactose_e0	0.0299740391516459
L-Ascorbate_e0	0.58344116649402
L-Lactate_e0	100.0
Glucose-1-phosphate_e0	100.0
Deoxyinosine_e0	100.0
Cytidine_e0	100.0
HYXN_e0	100.0
Uridine_e0	100.0
hexadecenoate_e0	7.1204730223287
L-Arabinose_e0	100.0
Pimelate_e0	100.0
Deoxyadenosine_e0	100.0
Deoxyuridine_e0	100.0
Thymidine_e0	100.0
Xylose_e0	100.0
Inosine_e0	100.0
