	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
9	Folate-e0	Phosphate-e0	Limosilactobacillus_reuteri_I49	-46.21449070814096	46.21449070814096	-1.0	6.798124058013428	-6.798124058013428
11	Thiamine	Phosphate-e0	Limosilactobacillus_reuteri_I49	-92.42898141628316	92.42898141628316	-1.0	9.613999241537476	-9.613999241537476
12	Riboflavin	Phosphate-e0	Limosilactobacillus_reuteri_I49	-138.64347212445298	138.64347212445298	-1.0	11.77469626463685	-11.77469626463685
14	L-Glutamate-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
15	D-Glucose-e0	D-Glucose-e0	Limosilactobacillus_reuteri_I49	-1.0000000000000016	1.0000000000000016	-1.0	1.0000000000000007	-1.0000000000000007
20	Folate-e0	Mn2+-e0	Limosilactobacillus_reuteri_I49	-0.2512649684942137	0.2512649684942137	-1.0	0.501263372384432	-0.501263372384432
22	Thiamine	Mn2+-e0	Limosilactobacillus_reuteri_I49	-0.5025299369884957	0.5025299369884957	-1.0	0.708893459546987	-0.708893459546987
23	Riboflavin	Mn2+-e0	Limosilactobacillus_reuteri_I49	-0.7537949054828584	0.7537949054828584	-1.0	0.8682136289432794	-0.8682136289432794
28	Folate-e0	Zn2+-e0	Limosilactobacillus_reuteri_I49	-0.2512649684923025	0.2512649684923025	-1.0	0.5012633723825256	-0.5012633723825256
30	Thiamine	Zn2+-e0	Limosilactobacillus_reuteri_I49	-0.5025299369846589	0.5025299369846589	-1.0	0.7088934595442807	-0.7088934595442807
31	Riboflavin	Zn2+-e0	Limosilactobacillus_reuteri_I49	-0.7537949054768969	0.7537949054768969	-1.0	0.8682136289398461	-0.8682136289398461
36	Folate-e0	L-Lysine-e0	Limosilactobacillus_reuteri_I49	-12.939235329692922	12.939235329692922	-1.0	3.597114861898758	-3.597114861898758
38	Thiamine	L-Lysine-e0	Limosilactobacillus_reuteri_I49	-25.878470659388572	25.878470659388572	-1.0	5.087088623111315	-5.087088623111315
39	Riboflavin	L-Lysine-e0	Limosilactobacillus_reuteri_I49	-38.81770598909002	38.81770598909002	-1.0	6.230385701470658	-6.230385701470658
41	L-Aspartate-e0	L-Aspartate-e0	Limosilactobacillus_reuteri_I49	-1.000000000000001	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
45	Folate-e0	Sulfate-e0	Limosilactobacillus_reuteri_I49	-0.25126496849408364	0.25126496849408364	-1.0	0.5012633723843022	-0.5012633723843022
47	Thiamine	Sulfate-e0	Limosilactobacillus_reuteri_I49	-0.502529936988183	0.502529936988183	-1.0	0.7088934595467665	-0.7088934595467665
48	Riboflavin	Sulfate-e0	Limosilactobacillus_reuteri_I49	-0.7537949054823969	0.7537949054823969	-1.0	0.8682136289430136	-0.8682136289430136
50	D-Glucose-e0	L-Arginine-e0	Limosilactobacillus_reuteri_I49	-1.0000000000252618	1.0000000000252618	-1.0	1.0000000000126308	-1.0000000000126308
52	L-Aspartate-e0	L-Arginine-e0	Limosilactobacillus_reuteri_I49	0.5000000000005805	0.5000000000005805	1.0	0.707106781186958	0.707106781186958
53	L-Glutamine-e0	L-Arginine-e0	Limosilactobacillus_reuteri_I49	0.5000000000005582	0.5000000000005582	1.0	0.7071067811869423	0.7071067811869423
54	Galactose-e0	L-Arginine-e0	Limosilactobacillus_reuteri_I49	-1.0000000000234275	1.0000000000234275	-1.0	1.0000000000117137	-1.0000000000117137
61	L-Asparagine-e0	L-Arginine-e0	Limosilactobacillus_reuteri_I49	1.00000000001172	1.00000000001172	1.0	1.00000000000586	1.00000000000586
67	D-Mannose-e0	L-Arginine-e0	Limosilactobacillus_reuteri_I49	0.5000000000114149	0.5000000000114149	1.0	0.707106781194619	0.707106781194619
68	Melitose-e0	L-Arginine-e0	Limosilactobacillus_reuteri_I49	-2.0000000000511693	2.0000000000511693	-1.0	1.4142135623911862	-1.4142135623911862
79	Folate-e0	L-Arginine-e0	Limosilactobacillus_reuteri_I49	-158.40986078657264	158.40986078657264	-1.0	12.586097917407628	-12.586097917407628
85	Urea-e0	L-Arginine-e0	Limosilactobacillus_reuteri_I49	0.5000000000115707	0.5000000000115707	1.0	0.7071067811947293	0.7071067811947293
90	Sucrose	L-Arginine-e0	Limosilactobacillus_reuteri_I49	-1.500000000038372	1.500000000038372	-1.0	1.2247448714072544	-1.2247448714072544
