	bc1016	bc1015	bc1011	In	InAmount	Out	OutAmount	All	AllAmount
Cl-	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Co2+	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
CoA	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Cu2+	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Cytidine	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Cytosine	0.0	0.0	0.0		0		0		0
D-Alanine	0.0	0.0	0.0	bc1011.bc1016	2		0	bc1011.bc1016	2
D-Arabinose	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
D-Galacturonate	0.0	0.0	0.0		0		0		0
D-Glucose	0.05745328770557882	0.2787243911686641	0.2701563170637754	bc1011.bc1015.bc1016	3	bc1011.bc1015.bc1016	3	bc1011.bc1015.bc1016bc1011.bc1015.bc1016	6
D-Serine	0.0	0.0	0.0		0		0		0
Deoxyadenosine	0.0	0.0	0.0		0		0		0
Deoxycytidine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Deoxyguanosine	0.0	0.0	0.0	bc1011.bc1015	2		0	bc1011.bc1015	2
Deoxyinosine	0.0	0.0	0.0		0		0		0
Deoxyuridine	0.0	0.0	0.0		0		0		0
Enterobactin	0.0	0.0	0.0		0		0		0
Fe-enterochlin	0.0	0.0	0.0		0		0		0
Folate	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Formate	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Fumarate	0.0	0.0	0.0		0		0		0
GTP	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Galactose	0.0	0.0	0.0		0		0		0
Glucose-1-phosphate	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Glucuronate	0.0	0.0	0.0		0		0		0
Glycerol	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Glycine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
H+	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
H2O	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
HYXN	0.0	0.0	0.0		0		0		0
Heme	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Inosine	0.0	0.0	0.0		0		0		0
K+	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Alanine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Arabinose	0.0	0.0	0.0		0		0		0
L-Arginine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Ascorbate	0.0	0.0	0.0		0		0		0
L-Asparagine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Aspartate	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Cysteine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Glutamate	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Glutamine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Histidine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Inositol	0.0	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Lactate	0.0	0.0	0.0	bc1016	1		0	bc1016	1
L-Leucine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Lysine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Malate	0.0	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Phenylalanine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Proline	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Serine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Threonine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Tryptophan	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Tyrosine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
L-Valine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Methanol	0.0	0.0	0.0		0		0		0
Mg	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Mn2+	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Myristic acid	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
N-Acetyl-D-glucosamine	0.0	0.0	0.0	bc1015	1		0	bc1015	1
NADP	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
NH3	0.0	0.0	0.0	bc1015.bc1016	2		0	bc1015.bc1016	2
Na+	0.0	0.0	0.0		0		0		0
Niacin	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Nicotinamide ribonucleotide	0.0	0.0	0.0	bc1011.bc1015	2		0	bc1011.bc1015	2
Nitrate	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	bc1011	1		0	bc1011	1
O2	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Oxidized glutathione	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
PAN	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	bc1015	1		0	bc1015	1
Pimelate	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Putrescine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Pyridoxal	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Riboflavin	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
S-Adenosyl-L-methionine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Spermidine	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Succinate	0.0	0.0	0.0		0		0		0
Sulfate	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
TRHL	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
TTP	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Thiamin	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Thymidine	0.0	0.0	0.0		0		0		0
UMP	0.0	0.0	0.0	bc1011.bc1015	2		0	bc1011.bc1015	2
Uracil	0.0	0.0	0.0		0		0		0
Uridine	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Xylose	0.0	0.0	0.0		0		0		0
Zn2+	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
chromate	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
dGTP	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
ddca	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
fe3	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
hexadecenoate	0.0	0.0	0.0	bc1016	1		0	bc1016	1
meso-2,6-Diaminopimelate	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
