,metabolite,fullName,fluxValue
0,cpd00001,H2O,55500
1,cpd00007,O2,0
2,cpd00067,H+,100
3,cpd00027,D-Glucose,9.8652725215
4,cpd00076,Sucrose,0.2191060473
5,cpd01133,Stachyose,0.09001197159
6,cpd00382,Melitose,0.02973606271
7,cpd11657,Starch,0.09251230105
8,cpd11746,Cellulose,0.7503234618
9,cpd11601,Pectin,1.699813021
10,cpd00035,L-Alanine,22.01788644
11,cpd00051,L-Arginine,7.693707992
12,cpd00041,L-Aspartate,10.784369615
13,cpd00084,L-Cysteine,25.955450614
14,cpd00023,L-Glutamate,25.02277947
15,cpd00033,L-Glycine,24.978845975
16,cpd00119,L-Histidine,2.4845653275
17,cpd00322,L-Isoleucine,7.008491143
18,cpd00107,L-Leucine,12.59185092
19,cpd00039,L-Lysine,10.290766819
20,cpd00060,L-Methionine,2.67833818
21,cpd00066,L-Phenylalanine,4.808763923
22,cpd00129,L-Proline,20.60541722
23,cpd00054,L-Serine,6.526855502
24,cpd00161,L-Threonine,5.1063385735
25,cpd00065,L-Tryptophan,0.88437935325
26,cpd00069,L-Tyrosine,3.9154951735
27,cpd00156,L-Valine,10.3822703645
28,cpd00063,Ca2+,0.8715210674
29,cpd00009,Phosphate,25.01840611
30,cpd00971,Na+,112.8253559
31,cpd00205,K+,54.00603992
32,cpd00254,Mg,1.909643222
33,cpd10515,Fe2+,0.5364705964
34,cpd10516,fe3,0.5406936354
35,cpd00058,Cu2+,0.005341181347
36,cpd00034,Zn2+,0.2839876456
37,cpd00030,Mn2+,0.005487595107
38,cpd00393,Folate,0.0002674096836
39,cpd00305,Thiamine,0.0001345756471
40,cpd00220,Riboflavin,0.0005660229548
41,cpd00218,Niacin,0.0165246131
42,cpd00644,PAN,0.002471752816
43,cpd00215,Pyridoxal,0.0004661963949
44,cpd00098,Choline,0.03204844628
45,cpd00059,L-Ascorbate,0.0005961844197
46,cpd01631,Gamma-Tocopherol,3.059902083e-05
47,cpd01401,Vitamin K1,1.564233415e-06
48,cpd00099,Cl,11.84002254
49,cpd00242,carbonate,23.58739791
50,cpd00048,Sulphate,1.395019572
51,cpd00381,L-Cystine,0.04161603383
52,cpd00132,Asparagine,0.5115540892
53,cpd00053,Glutamine,0.5369785316
54,cpd00848,Methylhistidine,0.8747872139
55,cpd00310,Carnosine,8.177301579
56,cpd00926,Anserine,1e-04
57,cpd00585,Creatinine,4.906294201
58,cpd00250,Creatine,5.643039616
59,cpd01544,Methylguanidine,0.2530779754
60,cpd19240,Guanidine,0.3131771398
61,cpd00098,Choline,1e-04
62,cpd00540,Betaine,0
63,cpd00266,Carnitine,4.590542242
64,cpd00226,Hypoxanthine,0.8155048783
65,cpd00246,Inosine,3.448532975
66,cpd00073,Urea,0.24060876515
67,cpd00274,Citrulline,0.422403361
68,cpd00160,Cholesterol,3e-04
69,cpd01122,Linolenic,1.65e-06
70,cpd00536,Oleic acid,1.65e-06
71,cpd00285,Phosphoethanolamine,0.3934412284
72,cpd00138,Mannose,1.273211034
73,cpd01755,acetylhexosamine,0.068092507805
74,cpd00159,lactate,0.41629662525
75,cpd00020,Puryvate,0.00205714285735
76,cpd00118,Putrescine,1.65e-05
77,cpd00264,Spermidine,1.65e-05
78,cpd01079,Selenium,5.791679063e-06
79,cpd00546,Hydrocortisone,3.15e-06
80,cpd00365,VitA Retinol,5.7591623045e-06
81,cpd01012,Cadmium,6.671766862e-05
82,cpd00149,Cobalt,1
83,cpd20624,Chromium,0.0005932167859
84,cpd20862,Nickel,0.0005447497998
85,cpd04097,Lead,8.38647343e-06
86,cpd00131,Molybdenum,0.0003074517978
87,cpd00128,Adenine,0.3270924295
88,cpd00207,Guanine,0.3060299479
89,cpd00307,Cytosine,0.1962125576
90,cpd00092,Uracil,0.2814752694
91,cpd00013,Ammonia,2.436733016
92,cpd00104,Biotin,2.742410685e-05
93,cpd03424,Vitamin B-12,2.661596958e-09
94,cpd03185,Vitamin K3,2.90393774
95,cpd04145,Hemin,0.001533883486
96,cpd11842,Mucin core 3,0.002364102075
97,cpd02992,Mucin core 4,0.002364102075
98,cpd00122,N-acetyl-D-gluosamine,0.00930983397
99,cpd00232,N-acetylneuraminate (as sialic residue),0.05123733653
100,cpd00832,N-acetyl-D-galactosamine,0.003295558292
101,cpd00108,galactose,0.1597973802
102,cpd00751,fucose,0.07581291165
