	0.0000-0.7812	0.7812-0.7813	0.7813-0.7823	0.7823-0.7827	0.7827-1.5737	1.5737-2.0000	Source	Target
O2##L-Lysine##bc1010	-0.04353770990384878	0.0	0.0	0.0	0.0	0.0	O2	L-Lysine
O2##UMP##bc1010	-0.014282564257839837	0.0	0.0	0.0	0.0	0.0	O2	UMP
O2##K+##bc1010	-0.00042802196856684386	0.0	0.0	0.0	0.0	0.0	O2	K+
O2##Cl-##bc1010	-0.00042802196856808945	0.0	0.0	0.0	0.0	0.0	O2	Cl-
O2##TRHL##bc1010	-0.009034576948351122	0.0	0.0	0.0	0.0	0.0	O2	TRHL
O2##Nicotinamide ribonucleotide##bc1010	-0.0004280219685683248	0.0	0.0	0.0	0.0	0.0	O2	Nicotinamide ribonucleotide
O2##L-Arginine##bc1010	-0.037628535548724126	0.0	0.0	0.0	0.0	0.0	O2	L-Arginine
O2##Mg##bc1010	-0.00042802196856743605	0.0	0.0	0.0	0.0	0.0	O2	Mg
O2##CO2##bc1010	1.1068172984247227	0.0	0.0	0.0	0.0	0.0	O2	CO2
O2##Niacin##bc1010	0.00042802196856877613	0.0	0.0	0.0	0.0	0.0	O2	Niacin
O2##Myristic acid##bc1010	-0.010355832441977467	0.0	0.0	0.0	0.0	0.0	O2	Myristic acid
O2##Glycine##bc1010	-0.07605808036271322	0.0	0.0	0.0	0.0	0.0	O2	Glycine
O2##H2O##bc1010	2.035646666388101	0.0	0.0	0.0	0.0	0.0	O2	H2O
O2##NADP##bc1010	-0.0008560439371292261	0.0	0.0	0.0	0.0	0.0	O2	NADP
O2##ddca##bc1010	-0.012533286795649867	0.0	0.0	0.0	0.0	0.0	O2	ddca
O2##Sulfate##bc1010	-0.00042802196856825387	0.0	0.0	0.0	0.0	0.0	O2	Sulfate
O2##Deoxyguanosine##bc1010	-0.0004280219685678887	0.0	0.0	0.0	0.0	0.0	O2	Deoxyguanosine
O2##NH3##bc1010	0.00042802196856684386	0.0	0.0	0.0	0.0	0.0	O2	NH3
O2##2-Oxoglutarate##bc1010	-0.0008560439371343456	0.0	0.0	0.0	0.0	0.0	O2	2-Oxoglutarate
O2##Adenosine##bc1010	-0.005429182532255864	0.0	0.0	0.0	0.0	0.0	O2	Adenosine
O2##L-Asparagine##bc1010	-0.030632616484611484	0.0	0.0	0.0	0.0	0.0	O2	L-Asparagine
O2##Ca2+##bc1010	-0.00042802196856864185	0.0	0.0	0.0	0.0	0.0	O2	Ca2+
O2##Chorismate##bc1010	-0.0008560439371334816	0.0	0.0	0.0	0.0	0.0	O2	Chorismate
O2##Folate##bc1010	-0.001284065905705528	0.0	0.0	0.0	0.0	0.0	O2	Folate
O2##L-Leucine##bc1010	-0.057257861854828306	0.0	0.0	0.0	0.0	0.0	O2	L-Leucine
O2##Succinate##bc1010	0.0004280219685770172	0.0	0.0	0.0	0.0	0.0	O2	Succinate
O2##AMP##bc1010	-0.010947842164899267	0.0	0.0	0.0	0.0	0.0	O2	AMP
