	0.0000-0.6609	0.6609-0.6609	0.6609-0.6613	0.6613-1.3515	1.3515-2.0000	Source	Target
D-Glucose##Cl-##bc1008	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	D-Glucose	Cl-
D-Glucose##dGTP##bc1008	-0.0006940265934823077	-0.0006940265934823077	-0.0006940265934823077	-0.0006940265934823077	-0.0006940265934823077	D-Glucose	dGTP
D-Glucose##Citrate##bc1008	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	D-Glucose	Citrate
D-Glucose##Acetate##bc1008	1.4964829358244556	1.4964829358244556	1.4964829358244556	1.4964829358244556	1.4964829358244556	D-Glucose	Acetate
D-Glucose##L-Tryptophan##bc1008	-0.0027119054603828804	-0.0027119054603828804	-0.0027119054603828804	-0.0027119054603828804	-0.0027119054603828804	D-Glucose	L-Tryptophan
D-Glucose##Heme##bc1008	-0.00016122307070090834	-0.00016122307070090834	-0.00016122307070090834	-0.00016122307070090834	-0.00016122307070090834	D-Glucose	Heme
D-Glucose##L-Valine##bc1008	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	D-Glucose	L-Valine
D-Glucose##Chitobiose##bc1008	-0.0029544936879514357	-0.0029544936879514357	-0.0029544936879514357	-0.0029544936879514357	-0.0029544936879514357	D-Glucose	Chitobiose
D-Glucose##Folate##bc1008	-0.00048366921210616135	-0.00048366921210616135	-0.00048366921210616135	-0.00048366921210616135	-0.00048366921210616135	D-Glucose	Folate
D-Glucose##Putrescine##bc1008	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	D-Glucose	Putrescine
D-Glucose##Cu2+##bc1008	-0.00016122307070339832	-0.00016122307070339832	-0.00016122307070339832	-0.00016122307070339832	-0.00016122307070339832	D-Glucose	Cu2+
D-Glucose##L-Glutamate##bc1008	-0.014024275854681256	-0.014024275854681256	-0.014024275854681256	-0.014024275854681256	-0.014024275854681256	D-Glucose	L-Glutamate
D-Glucose##D-Alanine##bc1008	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	D-Glucose	D-Alanine
D-Glucose##TRHL##bc1008	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	D-Glucose	TRHL
D-Glucose##K+##bc1008	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	D-Glucose	K+
D-Glucose##L-Arginine##bc1008	-0.014173543632566598	-0.014173543632566598	-0.014173543632566598	-0.014173543632566598	-0.014173543632566598	D-Glucose	L-Arginine
D-Glucose##L-Serine##bc1008	-0.012260983099475478	-0.012260983099475478	-0.012260983099475478	-0.012260983099475478	-0.012260983099475478	D-Glucose	L-Serine
D-Glucose##L-Threonine##bc1008	-0.012126822530392172	-0.012126822530392172	-0.012126822530392172	-0.012126822530392172	-0.012126822530392172	D-Glucose	L-Threonine
D-Glucose##ddca##bc1008	-0.002712659081893994	-0.002712659081893994	-0.002712659081893994	-0.002712659081893994	-0.002712659081893994	D-Glucose	ddca
D-Glucose##L-Alanine##bc1008	-0.026023178316185756	-0.026023178316185756	-0.026023178316185756	-0.026023178316185756	-0.026023178316185756	D-Glucose	L-Alanine
D-Glucose##L-Aspartate##bc1008	-0.01153839021351597	-0.01153839021351597	-0.01153839021351597	-0.01153839021351597	-0.01153839021351597	D-Glucose	L-Aspartate
D-Glucose##meso-2,6-Diaminopimelate##bc1008	-0.0014369410762991896	-0.0014369410762991896	-0.0014369410762991896	-0.0014369410762991896	-0.0014369410762991896	D-Glucose	meso-2,6-Diaminopimelate
D-Glucose##L-Asparagine##bc1008	-0.011538390213515165	-0.011538390213515165	-0.011538390213515165	-0.011538390213515165	-0.011538390213515165	D-Glucose	L-Asparagine
D-Glucose##CoA##bc1008	-0.00032244614140628647	-0.00032244614140628647	-0.00032244614140628647	-0.00032244614140628647	-0.00032244614140628647	D-Glucose	CoA
D-Glucose##Oxidized glutathione##bc1008	-8.061153535058117e-05	-8.061153535058117e-05	-8.061153535058117e-05	-8.061153535058117e-05	-8.061153535058117e-05	D-Glucose	Oxidized glutathione
D-Glucose##CMP##bc1008	-0.001367936570498446	-0.001367936570498446	-0.001367936570498446	-0.001367936570498446	-0.001367936570498446	D-Glucose	CMP
D-Glucose##Chorismate##bc1008	-0.0003224461414028971	-0.0003224461414028971	-0.0003224461414028971	-0.0003224461414028971	-0.0003224461414028971	D-Glucose	Chorismate
D-Glucose##Thiamin##bc1008	-0.00016122307070138024	-0.00016122307070138024	-0.00016122307070138024	-0.00016122307070138024	-0.00016122307070138024	D-Glucose	Thiamin
D-Glucose##5-Aminolevulinate##bc1008	-0.0012897845656162116	-0.0012897845656162116	-0.0012897845656162116	-0.0012897845656162116	-0.0012897845656162116	D-Glucose	5-Aminolevulinate
